Gender	Singular	Plural	Sentence	Definition	
MAS	Wein	Weine	Nein danke, ich möchte keinen Wein.	the wine	FALSE
FEM	Welt	Welten	Es gibt viele Probleme auf der Welt.	the world	FALSE
MAS	Westen			the west	FALSE
NEU	Wetter	Wetter	Wir hatten schlechtes Wetter.	the weather	TRUE
MAS	Wind	Winde	Der Wind kommt aus Osten.	the wind	FALSE
MAS	Winter			the winter	FALSE
FEM	Woche	Wochen		the week	FALSE
NEU	Wochenende	Wochenenden		the weekend	FALSE
MAS	Wochentag	Wochentage		the weekday	FALSE
FEM	Wohnung	Wohnungen	Seit wann haben Sie diese Wohnung?	the flat	FALSE
NEU	Wort	Wörter	Ich kenne das Wort nicht.	the word	FALSE
NEU	Wörterbuch	Wörterbücher	In diesem Wörterbuch finden Sie mehr als 20.000 Wörter.	the dictionary	FALSE
FEM	Zeit	Zeiten	Ich habe heute keine Zeit.	the time	FALSE
FEM	Zeitung	Zeitungen	Ich lese gern Zeitung.	the newspaper	FALSE
FEM	Zigarette	Zigaretten	Wie teuer sind die Zigaretten?	the cigarette	FALSE
NEU	Zimmer	Zimmer	Das Zimmer ist groß.	the room	TRUE
MAS	Zoll	Zölle	Wir müssen noch durch den Zoll.	the customs	FALSE
MAS	Zug	Züge	Ich fahre gern mit dem Zug.	the train	FALSE
NOG		Eltern	Meine Eltern leben in Spanien.	the parents	FALSE
NOG		Großeltern	Meine Großeltern leben in Japan.	the grandparents	FALSE
NOG		Lebensmittel	Lebensmittel bekommen Sie im Supermarkt.	the food	FALSE
NOG		Leute	In der Disko sind viele Leute.	the people	FALSE
NOG		Möbel	Sind die Möbel neu?	the furniture	FALSE
NOG		Pommes frites	Die Kinder essen Hähnchen mit Pommes frites.	the chips	FALSE
MAS	Bildschirm	Bildschirme		the a (e.g. computer) screen	FALSE
MAS	Supermarkt	Supermärkte		the supermarket	FALSE
MAS	Kundenservice			the customer service	FALSE
MAS	Fernseher	Fernseher		the television set	TRUE
NEU	Vokabular	Vokabulare		the vocabulary	FALSE
